sample_index,node_address,timestamp_sec,x,y,z,magnitude_xy,magnitude_xyz,applied_spec,exceeds_spec
0,30385,41.9866,0.384218,-1.97663,0.285872,2.01362,2.03382,2.5,0
1,30385,41.9868,0.393352,-2.00299,0.279224,2.04125,2.06025,2.5,0
2,30385,41.9869,0.401008,-2.029,0.272133,2.06825,2.08608,2.5,0
3,30385,41.9869,0.408399,-2.05538,0.26463,2.09556,2.1122,2.5,0
4,30385,41.9871,0.415899,-2.08186,0.257127,2.123,2.13851,2.5,0
5,30385,41.9872,0.422746,-2.10862,0.249379,2.15058,2.16499,2.5,0
6,30385,41.9873,0.428628,-2.13548,0.240928,2.17808,2.19136,2.5,0
7,30385,41.9875,0.43479,-2.1625,0.231835,2.20578,2.21793,2.5,0
8,30385,41.9876,0.440921,-2.18903,0.222987,2.23299,2.2441,2.5,0
9,30385,41.9877,0.447378,-2.21503,0.214384,2.25976,2.2699,2.5,0
10,30385,41.9878,0.45354,-2.24087,0.204313,2.28631,2.29542,2.5,0
11,30385,41.9879,0.460045,-2.26676,0.194273,2.31297,2.32112,2.5,0
12,30385,41.9881,0.4663,-2.2919,0.184829,2.33885,2.34614,2.5,0
13,30385,41.9882,0.473287,-2.3169,0.174789,2.36474,2.37119,2.5,0
14,30385,41.9883,0.48032,-2.34221,0.16426,2.39095,2.39659,2.5,0
15,30385,41.9884,0.487307,-2.3672,0.154326,2.41684,2.42176,2.5,0
16,30385,41.9902,0.493796,-2.39165,0.144623,2.4421,2.44638,2.5,0
17,30385,41.9903,0.500409,-2.41682,0.135102,2.46809,2.47178,2.5,0
18,30385,41.9903,0.50668,-2.44253,0.125658,2.49452,2.49769,2.5,0
19,30385,41.9904,0.512002,-2.46751,0.116825,2.52007,2.52277,2.5,1
20,30385,41.9905,0.516732,-2.49236,0.10897,2.54537,2.5477,2.5,1
21,30385,41.9906,0.521183,-2.5178,0.101314,2.57118,2.57317,2.5,1
22,30385,41.9907,0.524653,-2.54195,0.0946054,2.59553,2.59725,2.5,1
23,30385,41.9908,0.526224,-2.56586,0.0886455,2.61926,2.62076,2.5,1
24,30385,41.9908,0.528838,-2.59034,0.0814936,2.64377,2.64502,2.5,1
25,30385,41.9909,0.534829,-2.6148,0.0726608,2.66894,2.66993,2.5,1
26,30385,41.991,0.541614,-2.63825,0.0636751,2.69327,2.69402,2.5,1
27,30385,41.991,0.547029,-2.66173,0.0554077,2.71736,2.71793,2.5,1
28,30385,41.9911,0.552024,-2.68405,0.0464526,2.74023,2.74063,2.5,1
29,30385,41.9911,0.556957,-2.70714,0.0392702,2.76384,2.76412,2.5,1
30,30385,41.9912,0.562403,-2.73191,0.0332033,2.78919,2.78939,2.5,1
31,30385,41.9912,0.567398,-2.75689,0.0274421,2.81467,2.8148,2.5,1
32,30385,41.9921,0.571848,-2.78084,0.0213141,2.83903,2.83911,2.5,1
33,30385,41.9921,0.576843,-2.80419,0.0156599,2.86291,2.86295,2.5,1
34,30385,41.9921,0.582445,-2.82781,0.0107544,2.88717,2.88719,2.5,1
35,30385,41.9921,0.587938,-2.85068,0.005849,2.91068,2.91069,2.5,1
36,30385,41.9922,0.593695,-2.87301,0.000897715,2.93371,2.93371,2.5,1
37,30385,41.9922,0.599515,-2.89594,-0.00448146,2.95734,2.95735,2.5,1
38,30385,41.9922,0.606159,-2.91735,-0.0100287,2.97966,2.97968,2.5,1
39,30385,41.9923,0.612368,-2.93872,-0.0154843,3.00185,3.00189,2.5,1
40,30385,41.9923,0.61867,-2.96042,-0.0203592,3.02437,3.02444,2.5,1
41,30385,41.9923,0.625766,-2.9816,-0.0252494,3.04656,3.04666,2.5,1
42,30385,41.9923,0.633235,-3.00225,-0.0306897,3.0683,3.06846,2.5,1
43,30385,41.9923,0.640657,-3.02321,-0.035916,3.09035,3.09056,2.5,1
44,30385,41.9923,0.648547,-3.04366,-0.0401185,3.11199,3.11224,2.5,1
45,30385,41.9924,0.65656,-3.0642,-0.0441529,3.13375,3.13406,2.5,1
46,30385,41.9924,0.664916,-3.08466,-0.0466744,3.15551,3.15585,2.5,1
47,30385,41.9924,0.670051,-3.10455,-0.0487374,3.17604,3.17641,2.5,1
48,30385,41.9945,0.674502,-3.12442,-0.0517785,3.1964,3.19682,2.5,1
49,30385,41.9945,0.679792,-3.14438,-0.05349,3.21703,3.21747,2.5,1
50,30385,41.9945,0.685565,-3.16383,-0.0546056,3.23725,3.23771,2.5,1
51,30385,41.9945,0.691945,-3.18216,-0.0562102,3.25652,3.25701,2.5,1
52,30385,41.9946,0.697469,-3.20007,-0.0568367,3.2752,3.27569,2.5,1
53,30385,41.9946,0.704238,-3.21781,-0.0568673,3.29397,3.29446,2.5,1
54,30385,41.9946,0.709404,-3.23538,-0.0559045,3.31224,3.31271,2.5,1
55,30385,41.9946,0.715208,-3.25273,-0.0553544,3.33043,3.33089,2.5,1
56,30385,41.9946,0.721137,-3.26931,-0.0546056,3.3479,3.34834,2.5,1
57,30385,41.9946,0.726739,-3.28589,-0.0525578,3.3653,3.36571,2.5,1
58,30385,41.9946,0.732123,-3.3022,-0.0501128,3.38239,3.38276,2.5,1
59,30385,41.9947,0.738005,-3.31796,-0.0478663,3.39904,3.39938,2.5,1
60,30385,41.9947,0.743653,-3.33344,-0.045192,3.41539,3.41569,2.5,1
61,30385,41.9947,0.74952,-3.34866,-0.0421662,3.43152,3.43178,2.5,1
62,30385,41.9947,0.755526,-3.3637,-0.0383764,3.4475,3.44772,2.5,1
63,30385,41.9947,0.760786,-3.37829,-0.0340669,3.4629,3.46306,2.5,1
64,30385,41.9984,0.766232,-3.39229,-0.0302618,3.47775,3.47788,2.5,1
65,30385,41.9984,0.771834,-3.40659,-0.026151,3.49293,3.49303,2.5,1
66,30385,41.9984,0.776953,-3.42111,-0.0206495,3.50822,3.50828,2.5,1
67,30385,41.9984,0.781824,-3.43544,-0.0143076,3.52328,3.5233,2.5,1
68,30385,41.9985,0.786539,-3.44928,-0.00805739,3.53782,3.53783,2.5,1
69,30385,41.9985,0.79144,-3.46247,-0.0016849,3.55177,3.55177,2.5,1
70,30385,41.9985,0.796217,-3.47554,0.00516132,3.56558,3.56559,2.5,1
71,30385,41.9985,0.800543,-3.48873,0.0129092,3.5794,3.57943,2.5,1
72,30385,41.9985,0.804869,-3.50167,0.0211002,3.59298,3.59304,2.5,1
73,30385,41.9985,0.809615,-3.51403,0.028573,3.60609,3.6062,2.5,1
74,30385,41.9985,0.814299,-3.52566,0.0363514,3.61848,3.61866,2.5,1
75,30385,41.9986,0.817349,-3.53796,0.045337,3.63115,3.63143,2.5,1
76,30385,41.9986,0.821083,-3.54966,0.0541852,3.64339,3.64379,2.5,1
