bucket_index,start_sample_index,end_sample_index,start_timestamp_sec,end_timestamp_sec,sample_count,max_magnitude_xy,max_magnitude_xyz
0,0,199,41.9866,42.0294,200,3.84801,3.88552
1,200,399,42.0294,42.0803,200,3.40486,6.989
2,400,599,42.084,42.1409,200,3.47511,6.77497
3,600,799,42.1409,42.2389,200,4.0923,4.11784
4,800,999,42.2389,42.3466,200,4.67165,8.00628
5,1000,1199,42.3467,42.4343,200,4.60075,5.05794
6,1200,1399,42.4343,42.5317,200,4.01634,4.58324
7,1400,1599,42.5318,42.6295,200,4.9664,6.77748
8,1600,1799,42.6295,42.727,200,4.98111,5.00357
9,1800,1999,42.727,42.8245,200,2.96482,3.07331
10,2000,2199,42.8245,42.9223,200,2.99514,4.71848
11,2200,2399,42.9223,43.0201,200,4.0138,4.21834
12,2400,2599,43.0201,43.1201,200,2.84241,3.58038
13,2600,2799,43.1201,43.2155,200,5.63291,8.47886
14,2800,2999,43.2155,43.3171,200,3.35521,5.42427
15,3000,3199,43.3171,43.4106,200,3.40629,5.22878
16,3200,3399,43.4106,43.5083,200,3.49109,7.70435
17,3400,3599,43.5083,43.6058,200,3.41269,3.85723
18,3600,3799,43.6059,43.7038,200,3.13342,4.784
19,3800,3999,43.7038,43.8012,200,3.86112,5.43674
20,4000,4199,43.8012,43.9045,200,3.21421,4.18698
21,4200,4399,43.9045,43.9965,200,4.81224,5.10559
22,4400,4599,43.9965,44.0944,200,5.2386,6.20572
23,4600,4799,44.0944,44.1919,200,3.37007,4.13166
24,4800,4999,44.1919,44.2954,200,3.51759,6.83291
25,5000,5199,44.2954,44.391,200,3.38009,6.88205
26,5200,5399,44.391,44.485,200,2.7163,4.22636
27,5400,5599,44.485,44.5825,200,3.80135,5.69397
28,5600,5799,44.5825,44.6801,200,4.206,8.33693
29,5800,5999,44.6801,44.7777,200,4.88579,5.12764
30,6000,6199,44.7777,44.8755,200,4.64671,6.23931
31,6200,6399,44.8755,44.9731,200,3.56754,5.26154
32,6400,6599,44.9731,45.0711,200,1.5135,1.61554
33,6600,6799,45.0712,45.1684,200,0.784912,1.37656
34,6800,6999,45.1684,45.3734,200,0.842114,1.49629
35,7000,7199,45.3735,45.424,200,0.513542,1.18148
36,7200,7399,45.4241,45.4747,200,0.505078,1.1493
37,7400,7599,45.4747,45.5591,200,0.487804,1.10531
38,7600,7799,45.5591,45.6565,200,0.512241,0.991522
39,7800,7999,45.6565,45.7544,200,1.04446,1.28397
40,8000,8199,45.7544,45.8521,200,0.761032,1.12763
41,8200,8399,45.8521,45.9497,200,1.13985,1.262
42,8400,8599,45.9497,46.0474,200,0.858433,1.36267
43,8600,8799,46.0474,46.151,200,0.71347,1.49658
44,8800,8999,46.151,46.2426,200,0.695738,1.26506
45,9000,9199,46.2427,46.3466,200,1.24914,1.90378
46,9200,9399,46.3467,46.438,200,1.27265,1.42203
47,9400,9599,46.438,46.5359,200,1.48859,1.64414
48,9600,9799,46.5359,46.6333,200,1.6451,1.64687
49,9800,9999,46.6333,46.7311,200,2.85728,4.15177
50,10000,10199,46.7311,46.8285,200,3.32584,4.4515
51,10200,10399,46.8285,46.9263,200,2.49321,3.82738
52,10400,10599,46.9264,47.0237,200,5.93203,7.26242
53,10600,10799,47.0237,47.1215,200,5.9131,7.27695
54,10800,10999,47.1215,47.2192,200,5.07521,6.49235
55,11000,11199,47.2193,47.3169,200,7.93101,7.93566
56,11200,11399,47.3169,47.4145,200,8.10261,8.22243
57,11400,11599,47.4145,47.5226,200,8.22446,8.93351
58,11600,11799,47.5227,47.6098,200,4.6755,4.80549
59,11800,11999,47.6099,47.7075,200,8.18576,8.29095
60,12000,12199,47.7075,47.8056,200,7.6323,7.95807
61,12200,12399,47.8057,47.9028,200,7.70457,7.98196
62,12400,12599,47.9028,48.0006,200,7.40331,7.68905
63,12600,12799,48.0007,48.098,200,5.4999,5.86039
64,12800,12999,48.098,48.2001,200,7.36002,7.43141
65,13000,13199,48.2002,48.2934,200,4.66659,4.96654
66,13200,13399,48.2934,48.3911,200,3.02472,3.23572
67,13400,13599,48.3912,48.4888,200,4.31781,4.41632
68,13600,13799,48.4888,48.5901,200,2.07448,2.37133
69,13800,13999,48.5901,48.7754,200,1.03623,1.15049
70,14000,14199,48.7755,48.8303,200,1.05121,1.17733
71,14200,14399,48.8303,48.8791,200,0.850646,1.25096
72,14400,14599,48.8792,48.9769,200,0.737086,1.23636
73,14600,14799,48.977,49.0747,200,0.673641,1.12086
74,14800,14999,49.0747,49.1722,200,0.515611,1.06464
75,15000,15199,49.1722,49.2702,200,0.534772,1.04519
76,15200,15399,49.2702,49.3675,200,0.580286,1.03082
77,15400,15599,49.3676,49.4655,200,0.589757,1.00385
78,15600,15799,49.4656,49.563,200,0.57487,1.06212
79,15800,15999,49.563,49.6606,200,0.476423,1.08725
80,16000,16199,49.6606,49.7582,200,0.448403,1.04101
81,16200,16399,49.7582,49.856,200,0.409115,0.997109
82,16400,16599,49.856,49.9538,200,0.636852,0.948296
83,16600,16799,49.9539,50.0512,200,1.87378,1.99355
84,16800,16999,50.0513,50.1487,200,3.17774,4.69229
85,17000,17199,50.1488,50.2465,200,2.8072,3.87313
86,17200,17399,50.2465,50.3499,200,2.74536,3.67182
87,17400,17599,50.3499,50.4417,200,3.58511,7.07944
88,17600,17799,50.4417,50.5393,200,4.43144,6.72961
89,17800,17999,50.5393,50.6374,200,3.30624,3.50387
90,18000,18199,50.6374,50.7349,200,4.16042,7.50464
91,18200,18399,50.735,50.8322,200,6.18094,6.23666
92,18400,18599,50.8322,50.9301,200,4.71248,5.11456
93,18600,18799,50.9301,51.0277,200,3.11937,7.10914
94,18800,18999,51.0277,51.1252,200,6.36634,6.57034
95,19000,19199,51.1252,51.2228,200,6.18123,6.33091
96,19200,19399,51.2228,51.3275,200,6.25483,6.84876
97,19400,19599,51.3275,51.4289,200,7.89815,8.96262
98,19600,19799,51.429,51.5218,200,6.14205,6.41679
99,19800,19999,51.5218,51.6137,200,8.14492,8.3566
100,20000,20199,51.6137,51.7114,200,8.17436,8.98011
101,20200,20399,51.7114,51.8089,200,6.54244,6.89128
102,20400,20599,51.8089,51.9065,200,6.32573,6.51572
103,20600,20799,51.9065,52.1196,200,6.31903,6.52832
104,20800,20999,52.1197,52.1738,200,3.36445,4.47992
105,21000,21199,52.1739,52.2211,200,2.91067,3.34199
106,21200,21399,52.2211,52.2971,200,2.00492,2.10502
107,21400,21599,52.2971,52.395,200,2.49858,4.38888
108,21600,21799,52.395,52.4925,200,2.96334,5.49681
109,21800,21999,52.4925,52.5902,200,4.22589,4.22928
110,22000,22199,52.5903,52.6881,200,4.35102,4.66678
111,22200,22399,52.6881,52.7874,200,5.75027,7.15806
112,22400,22599,52.7874,52.8831,200,5.71706,7.33568
113,22600,22799,52.8832,52.9808,200,4.24297,4.51941
114,22800,22999,52.9808,53.0785,200,5.90501,5.93432
115,23000,23199,53.0786,53.176,200,7.67553,10.6938
116,23200,23399,53.176,53.2738,200,5.6075,9.44825
117,23400,23599,53.2739,53.3713,200,5.72004,6.56619
118,23600,23799,53.3713,53.4691,200,3.68776,4.80445
119,23800,23999,53.4691,53.5667,200,7.49071,7.6521
120,24000,24199,53.5668,53.6643,200,8.21245,8.34943
121,24200,24399,53.6644,53.762,200,4.56894,5.21026
122,24400,24599,53.762,53.8597,200,4.94508,5.29565
123,24600,24799,53.8597,53.9576,200,4.26232,7.53095
124,24800,24999,53.9576,54.055,200,4.25641,7.28944
125,25000,25199,54.0551,54.1527,200,4.44586,5.40297
126,25200,25399,54.1527,54.2525,200,4.57953,5.11692
127,25400,25599,54.2526,54.3498,200,6.50669,6.59849
128,25600,25799,54.3498,54.4457,200,6.35927,6.40108
129,25800,25999,54.4457,54.5433,200,2.87603,3.62024
130,26000,26199,54.5433,54.6409,200,4.43074,6.05838
131,26200,26399,54.6409,54.7385,200,3.83793,6.20239
132,26400,26599,54.7386,54.8363,200,4.7071,5.09091
133,26600,26799,54.8363,54.9357,200,3.8038,4.39417
134,26800,26999,54.9357,55.0317,200,4.01291,4.16024
135,27000,27199,55.0317,55.1291,200,3.54184,3.65663
136,27200,27399,55.1291,55.2268,200,3.73087,3.73092
137,27400,27599,55.2269,55.3246,200,3.16232,3.35677
138,27600,27799,55.3246,55.5138,200,3.35965,3.96843
139,27800,27999,55.5138,55.5644,200,4.27602,5.28772
140,28000,28199,55.5644,55.6193,200,4.50178,5.3527
141,28200,28399,55.6193,55.7173,200,2.50722,2.75198
142,28400,28599,55.7173,55.8171,200,3.14596,3.2467
143,28600,28799,55.8171,55.911,200,3.2714,3.2826
144,28800,28999,55.9111,56.0084,200,2.84242,4.21826
145,29000,29199,56.0084,56.1059,200,2.3608,4.14553
146,29200,29399,56.106,56.2037,200,2.56277,3.09308
147,29400,29599,56.2038,56.3013,200,3.66381,3.66383
148,29600,29799,56.3013,56.3988,200,4.12619,4.14162
149,29800,29999,56.3988,56.4962,200,4.08713,4.11083
150,30000,30199,56.4963,56.594,200,2.71006,2.79569
151,30200,30399,56.594,56.6917,200,2.56891,4.21806
152,30400,30599,56.6917,56.7894,200,0.824886,4.01298
153,30600,30799,56.7894,56.8873,200,3.00194,3.17819
154,30800,30999,56.8873,56.9845,200,3.00671,3.16693
155,31000,31199,56.9846,57.0824,200,2.16984,2.22023
156,31200,31399,57.0824,57.1802,200,3.82212,4.23059
157,31400,31599,57.1802,57.2776,200,3.78837,6.58262
158,31600,31799,57.2777,57.3752,200,1.97852,4.2118
159,31800,31999,57.3752,57.4729,200,2.95362,3.21451
160,32000,32199,57.4729,57.5709,200,2.93114,2.96948
161,32200,32399,57.571,57.6743,200,4.91392,4.92917
162,32400,32599,57.6743,57.7659,200,4.61635,6.52626
163,32600,32799,57.7659,57.8637,200,5.18583,6.63271
164,32800,32999,57.8638,57.9612,200,2.70695,4.74038
165,33000,33199,57.9612,58.0589,200,3.84534,3.84543
166,33200,33399,58.0589,58.1565,200,3.98266,3.99535
167,33400,33599,58.1565,58.2547,200,6.74996,6.76407
168,33600,33799,58.2547,58.3574,200,4.25033,4.43671
169,33800,33999,58.3574,58.4495,200,2.19637,3.23479
170,34000,34199,58.4496,58.547,200,3.08889,4.21969
171,34200,34399,58.5471,58.6449,200,2.48309,7.38416
172,34400,34599,58.6449,58.8768,200,1.70369,4.16777
173,34600,34799,58.8769,58.924,200,3.15199,3.66031
174,34800,34999,58.924,58.9785,200,3.25762,4.23681
175,35000,35199,58.9785,59.0353,200,5.92783,9.90357
176,35200,35399,59.0353,59.133,200,5.5617,9.54468
177,35400,35599,59.133,59.2307,200,3.28171,3.89437
178,35600,35799,59.2308,59.3285,200,1.26254,3.6697
179,35800,35999,59.3286,59.4259,200,1.98009,3.93415
180,36000,36199,59.426,59.5236,200,1.82066,3.94521
181,36200,36399,59.5237,59.6212,200,1.10003,1.52373
182,36400,36599,59.6212,59.7191,200,0.952311,1.41144
183,36600,36799,59.7192,59.8167,200,5.30051,9.05482
184,36800,36999,59.8167,59.9143,200,1.93515,3.46279
185,37000,37199,59.9143,60.012,200,8.60151,11.3537
186,37200,37399,60.012,60.1096,200,3.82502,6.09979
187,37400,37599,60.1096,60.2076,200,0.763824,1.57117
188,37600,37799,60.2076,60.3055,200,0.0333582,1.04098
189,37800,37999,60.3055,60.403,200,0.0244305,1.00478
190,38000,38199,60.4031,60.5007,200,0.030034,1.0278
191,38200,38399,60.5007,60.5982,200,0.0367207,1.00592
192,38400,38599,60.5982,60.6958,200,0.0283108,1.01009
193,38600,38799,60.6958,60.7937,200,0.0366001,1.01384
194,38800,38999,60.7937,60.8913,200,0.0353793,1.01659
195,39000,39199,60.8914,60.9891,200,0.0357715,1.00813
196,39200,39399,60.9891,61.0891,200,0.0339456,1.01606
197,39400,39599,61.0891,61.1841,200,0.0344322,1.01437
